path,size,modified_at,git_status,category,ownership_class,referenced_by,runtime_relevance,confidence,recommended_action,reason,snapshot_status,snapshot_reason,restoration_required
.agents/skills/neon/SKILL.md,29140,2026-08-22T14:07:05,untracked,CURRENT_DOC,PROJECT_OWNED,See rg/static-analysis evidence; path retained conservatively,project documentation,medium,KEEP,Documentation status requires the documentation map; no deletion performed.,COPIED,physical baseline copy,NO
.env,1784,2026-08-30T14:58:19,ignored,SECRET_LOCAL,SECRET_LOCAL,See rg/static-analysis evidence; path retained conservatively,local runtime configuration,high,KEEP,Secret-bearing file; never print or commit contents.,COPIED,physical baseline copy,NO
.env.example,4819,2026-08-30T14:53:17,ignored,SECRET_LOCAL,SECRET_LOCAL,See rg/static-analysis evidence; path retained conservatively,local runtime configuration,high,KEEP,Secret-bearing file; never print or commit contents.,COPIED,physical baseline copy,NO
.env.local,1349,2026-08-27T16:08:28,ignored,SECRET_LOCAL,SECRET_LOCAL,See rg/static-analysis evidence; path retained conservatively,local runtime configuration,high,KEEP,Secret-bearing file; never print or commit contents.,COPIED,physical baseline copy,NO
.env.p0-backup-20260830,1525,2026-08-25T14:03:55,ignored,SECRET_LOCAL,SECRET_LOCAL,See rg/static-analysis evidence; path retained conservatively,local runtime configuration,high,KEEP,Secret-bearing file; never print or commit contents.,COPIED,physical baseline copy,NO
.env.production.local,3879,2026-08-27T16:08:55,ignored,SECRET_LOCAL,SECRET_LOCAL,See rg/static-analysis evidence; path retained conservatively,local runtime configuration,high,KEEP,Secret-bearing file; never print or commit contents.,COPIED,physical baseline copy,NO
.git/COMMIT_EDITMSG,77,2026-09-01T10:57:57,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/config,368,2026-08-30T21:05:58,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/description,73,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/HEAD,50,2026-08-30T19:18:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/applypatch-msg.sample,478,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/commit-msg.sample,1972,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/fsmonitor-watchman.sample,4611,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/post-update.sample,189,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/pre-applypatch.sample,424,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/pre-commit.sample,1649,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/pre-merge-commit.sample,416,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/pre-push.sample,1374,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/pre-rebase.sample,4898,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/pre-receive.sample,544,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/prepare-commit-msg.sample,1492,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
