requirement_id,capability_id,business_rule_id,unit_test_path,integration_test_path,browser_test_path,doctor_check_id,component_id,failure_mode_id,runbook_path,verification_status,test_verification_level,diagnostic_level,live_acceptance_required,live_evidence_status,diagnostic_gap
REQ-AUTH-001,CAP-AUTH-001,BR-AUTH-001,,tests/test_mail_integrity.py,,DOC-004,COMP-AUTH,FM-AUTH-001,docs/operations/runbooks/RUNBOOK-BACKEND-STARTUP.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,does_not_exercise_cross_workspace_isolation
REQ-AUTH-002,CAP-AUTH-001,BR-AUTH-001,tests/test_mail_integrity.py,,,DOC-005,COMP-AUTH,FM-AUTH-002,docs/operations/runbooks/RUNBOOK-BACKEND-STARTUP.md,ACCEPTED,BEHAVIORAL,RUNTIME,false,NOT_REQUIRED,does_not_exercise_csrf_or_two_workspace_ownership
REQ-REQUEST-001,CAP-REQUEST-001,,tests/test_dashboard.py,,frontend/tests/frontend-audit.spec.ts,DOC-004,COMP-REQUEST,FM-REQUEST-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_route_surface_only
REQ-REQUEST-002,CAP-REQUEST-001,,tests/test_dashboard.py,,,DOC-004,COMP-REQUEST,FM-REQUEST-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_route_surface_only
REQ-SUPPLIER-001,CAP-SUPPLIER-001,BR-SUPPLIER-001,tests/test_supplier_identity.py,,,DOC-004,COMP-SUPPLIER,FM-SUPPLIER-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_route_surface_only
REQ-SUPPLIER-002,CAP-SUPPLIER-001,,tests/test_enrichment_pipeline.py;tests/test_dashboard.py,,,DOC-004,COMP-SUPPLIER,FM-SUPPLIER-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_route_surface_only
REQ-DISCOVERY-001,CAP-DISCOVERY-001,,supplier_discovery_v2/tests/test_query_planner.py;supplier_discovery_v2/tests/test_pipeline_fixture.py,,,DOC-012,COMP-DISCOVERY,FM-DISCOVERY-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_contract_does_not_replay_candidate_qualification
REQ-MESSAGE-001,CAP-MESSAGE-001,BR-MSG-001,tests/test_messages_visibility.py;tests/test_mail_integration.py,,frontend/tests/frontend-audit.spec.ts,DOC-004,COMP-MESSAGE,FM-MESSAGE-001,docs/operations/runbooks/RUNBOOK-BACKEND-STARTUP.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_route_surface_only
REQ-MAIL-001,CAP-INCOMING-001,BR-MSG-001,tests/test_mail_integration.py,tests/test_mail_integration.py,,DOC-011,COMP-INCOMING,FM-MAIL-001,docs/operations/runbooks/RUNBOOK-MAIL-RUNTIME.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,no_mailbox_fixture_or_sync_replay_in_doctor
REQ-MAIL-002,CAP-DELIVERY-001,BR-MAIL-001,tests/test_mail_deliverability.py,tests/test_outgoing_safety.py,,DOC-014,COMP-DELIVERY,FM-MAIL-002,docs/operations/runbooks/RUNBOOK-MAIL-PROVIDER.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_policy_surface_does_not_execute_preflight
